index,nodeid,testname,iodepth,device,count,mean_mean,mean_min,stdev_mean,stdev_max,disk_type,disk_name,disk_model,units
4744,c220g2-011323,read,4096,/dev/sdb,75,177516.666667,175230.0,7664.61376939,8591.43,HDD,/dev/sdb,HUC101212CSS600,KB/s
4746,c220g2-011323,write,1,/dev/sda4,75,87432.5333333,80638.1,3252.87494891,7643.65,HDD,/dev/sda,HUC101212CSS600,KB/s
4747,c220g2-011323,write,1,/dev/sdb,75,90048.2293333,82112.9,1959.09841371,3532.22,HDD,/dev/sdb,HUC101212CSS600,KB/s
4748,c220g2-011323,write,1,/dev/sdc,75,79369.5133333,68451.7,1548.75214977,7277.8,SSD,/dev/sdc,INTEL SSDSC2BB48,KB/s
4749,c220g2-011323,write,4096,/dev/sda4,75,182433.133333,180203.0,15063.5172555,17939.8,HDD,/dev/sda,HUC101212CSS600,KB/s
4750,c220g2-011323,write,4096,/dev/sdb,75,181379.306667,179700.0,7407.93775104,8448.73,HDD,/dev/sdb,HUC101212CSS600,KB/s
4751,c220g2-011323,write,4096,/dev/sdc,75,443193.653333,428265.0,25175.2593372,30268.5,SSD,/dev/sdc,INTEL SSDSC2BB48,KB/s
4741,c220g2-011323,read,1,/dev/sdb,75,107979.5,60664.1,3200.21944754,5408.0,HDD,/dev/sdb,HUC101212CSS600,KB/s
4745,c220g2-011323,read,4096,/dev/sdc,75,494556.133333,477909.0,3470.31933586,10467.5,SSD,/dev/sdc,INTEL SSDSC2BB48,KB/s
4742,c220g2-011323,read,1,/dev/sdc,75,88284.8226667,77052.6,1910.52451802,2849.26,SSD,/dev/sdc,INTEL SSDSC2BB48,KB/s
4743,c220g2-011323,read,4096,/dev/sda4,75,178554.88,175768.0,8163.5327403,12977.7,HDD,/dev/sda,HUC101212CSS600,KB/s
4470,c220g2-011312,randwrite,1,/dev/sda4,73,2405.19958904,2392.53,95.6911874721,112.904,HDD,/dev/sda,HUC101212CSS600,KB/s
4483,c220g2-011312,write,1,/dev/sdb,73,89253.8945205,76884.7,2801.47015487,13287.5,HDD,/dev/sdb,HUC101212CSS600,KB/s
4464,c220g2-011312,randread,1,/dev/sda4,73,934.395520548,932.233,35.6213439011,36.9756,HDD,/dev/sda,HUC101212CSS600,KB/s
